name,votes,perc,municipality,election
 Carlos (Charlie) Delgado Altieri (PPD) ,"  3,120", 36.3  ,Adjuntas,G
 Pedro Pierluisi (PNP) ,"  3,020", 35.1  ,Adjuntas,G
 César Augusto Vázquez Muñiz (PD) ,"  1,058", 12.3  ,Adjuntas,G
 Juan Dalmau Ramírez (PIP) ,  666, 7.7  ,Adjuntas,G
 Alexandra Lúgaro (MVC) ,  619, 7.2  ,Adjuntas,G
 Eliezer Molina Pérez (Ind.) ,  122, 1.4  ,Adjuntas,G
Jenniffer González Colón (PNP) ,"  3,587", 43.6  ,Adjuntas,R
 Aníbal Acevedo Vilá (PPD) ,"  2,819", 34.3  ,Adjuntas,R
 Ada Norah Henriquez (PD) ,  971, 11.8  ,Adjuntas,R
 Zayira Jordán Conde (MVC) ,  546, 6.6  ,Adjuntas,R
 Luis Roberto Piñero (PIP) ,  299, 3.6,Adjuntas,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  6,236", 36.4  ,Aguada,G
 Pedro Pierluisi (PNP) ,"  5,678", 33.1  ,Aguada,G
 Alexandra Lúgaro (MVC) ,"  2,347", 13.7  ,Aguada,G
 Juan Dalmau Ramírez (PIP) ,"  1,639", 9.6  ,Aguada,G
 César Augusto Vázquez Muñiz (PD) ,"  1,079", 6.3  ,Aguada,G
 Eliezer Molina Pérez (Ind.) ,  157, 0.9,Aguada,G
Jenniffer González Colón (PNP) ,"  7,343", 44.6  ,Aguada,R
 Aníbal Acevedo Vilá (PPD) ,"  5,369", 32.6  ,Aguada,R
 Zayira Jordán Conde (MVC) ,"  1,888", 11.5  ,Aguada,R
 Ada Norah Henriquez (PD) ,"  1,173", 7.1  ,Aguada,R
 Luis Roberto Piñero (PIP) ,  697, 4.2  ,Aguada,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  6,715", 35.6  ,Aguadilla,G
 Pedro Pierluisi (PNP) ,"  6,687", 35.5  ,Aguadilla,G
 Alexandra Lúgaro (MVC) ,"  2,147", 11.4  ,Aguadilla,G
 Juan Dalmau Ramírez (PIP) ,"  1,625", 8.6  ,Aguadilla,G
 César Augusto Vázquez Muñiz (PD) ,"  1,535", 8.1  ,Aguadilla,G
 Eliezer Molina Pérez (Ind.) ,  131, 0.7 ,Aguadilla,G
 Jenniffer González Colón (PNP) ,"  8,167", 44.6  ,Aguadilla,R
 Aníbal Acevedo Vilá (PPD) ,"  5,914", 32.3  ,Aguadilla,R
 Zayira Jordán Conde (MVC) ,"  1,873", 10.2  ,Aguadilla,R
 Ada Norah Henriquez (PD) ,"  1,514", 8.3  ,Aguadilla,R
 Luis Roberto Piñero (PIP) ,  824, 4.5  ,Aguadilla,R
Pedro Pierluisi (PNP) ,"  3,263", 34.4  ,Aguas Buenas,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  2,497", 26.3  ,Aguas Buenas,G
 Juan Dalmau Ramírez (PIP) ,"  1,517", 16.0  ,Aguas Buenas,G
 Alexandra Lúgaro (MVC) ,"  1,433", 15.1  ,Aguas Buenas,G
 César Augusto Vázquez Muñiz (PD) ,  722, 7.6  ,Aguas Buenas,G
 Eliezer Molina Pérez (Ind.) ,  60, 0.6 ,Aguas Buenas,G
Jenniffer González Colón (PNP) ,"  3,913", 42.8  ,Aguas Buenas,R
 Aníbal Acevedo Vilá (PPD) ,"  2,434", 26.6  ,Aguas Buenas,R
 Zayira Jordán Conde (MVC) ,"  1,233", 13.5  ,Aguas Buenas,R
 Luis Roberto Piñero (PIP) ,  822, 9.0  ,Aguas Buenas,R
 Ada Norah Henriquez (PD) ,  748, 8.2,Aguas Buenas,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  3,784", 34.8  ,Aibonito,G
 Pedro Pierluisi (PNP) ,"  3,117", 28.7  ,Aibonito,G
 Alexandra Lúgaro (MVC) ,"  1,811", 16.7  ,Aibonito,G
 Juan Dalmau Ramírez (PIP) ,"  1,542", 14.2  ,Aibonito,G
 César Augusto Vázquez Muñiz (PD) ,  545, 5.0  ,Aibonito,G
 Eliezer Molina Pérez (Ind.) ,  69, 0.6,Aibonito,G
 Jenniffer González Colón (PNP) ,"  3,931", 37.5  ,Aibonito,R
 Aníbal Acevedo Vilá (PPD) ,"  3,629", 34.6  ,Aibonito,R
 Zayira Jordán Conde (MVC) ,"  1,538", 14.7  ,Aibonito,R
 Luis Roberto Piñero (PIP) ,  717, 6.8  ,Aibonito,R
 Ada Norah Henriquez (PD) ,  665, 6.3,Aibonito,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  4,173", 35.9  ,Añasco,G
 Pedro Pierluisi (PNP) ,"  4,172", 35.9  ,Añasco,G
 Alexandra Lúgaro (MVC) ,"  1,504", 12.9  ,Añasco,G
 Juan Dalmau Ramírez (PIP) ,"  1,076", 9.2  ,Añasco,G
 César Augusto Vázquez Muñiz (PD) ,  612, 5.3  ,Añasco,G
 Eliezer Molina Pérez (Ind.) ,  98, 0.8 ,Añasco,G
 Jenniffer González Colón (PNP) ,"  5,085", 45.1  ,Añasco,R
 Aníbal Acevedo Vilá (PPD) ,"  3,800", 33.7  ,Añasco,R
 Zayira Jordán Conde (MVC) ,"  1,251", 11.1  ,Añasco,R
 Ada Norah Henriquez (PD) ,  637, 5.6  ,Añasco,R
 Luis Roberto Piñero (PIP) ,  505, 4.5,Añasco,R
Pedro Pierluisi (PNP) ,"  11,839", 35.6  ,Arecibo,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  11,075", 33.3  ,Arecibo,G
 César Augusto Vázquez Muñiz (PD) ,"  3,512", 10.6  ,Arecibo,G
 Alexandra Lúgaro (MVC) ,"  3,322", 10.0  ,Arecibo,G
 Juan Dalmau Ramírez (PIP) ,"  3,248", 9.8  ,Arecibo,G
 Eliezer Molina Pérez (Ind.) ,  215, 0.6,Arecibo,G
 Jenniffer González Colón (PNP) ,"  14,238", 44.3  ,Arecibo,R
 Aníbal Acevedo Vilá (PPD) ,"  9,921", 30.9  ,Arecibo,R
 Ada Norah Henriquez (PD) ,"  3,649", 11.4  ,Arecibo,R
 Zayira Jordán Conde (MVC) ,"  2,974", 9.3  ,Arecibo,R
 Luis Roberto Piñero (PIP) ,"  1,364", 4.2 ,Arecibo,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  2,968", 40.8  ,Arroyo,G
 Pedro Pierluisi (PNP) ,"  2,540", 35.0  ,Arroyo,G
 Juan Dalmau Ramírez (PIP) ,  869, 12.0  ,Arroyo,G
 Alexandra Lúgaro (MVC) ,  612, 8.4  ,Arroyo,G
 César Augusto Vázquez Muñiz (PD) ,  236, 3.2  ,Arroyo,G
 Eliezer Molina Pérez (Ind.) ,  41, 0.6,Arroyo,G
 Jenniffer González Colón (PNP) ,"  2,988", 42.4  ,Arroyo,R
 Aníbal Acevedo Vilá (PPD) ,"  2,799", 39.7  ,Arroyo,R
 Zayira Jordán Conde (MVC) ,  512, 7.3  ,Arroyo,R
 Luis Roberto Piñero (PIP) ,  436, 6.2  ,Arroyo,R
 Ada Norah Henriquez (PD) ,  311, 4.4  ,Arroyo,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  3,857", 37.2  ,Barceloneta,G
 Pedro Pierluisi (PNP) ,"  2,994", 28.9  ,Barceloneta,G
 Alexandra Lúgaro (MVC) ,"  1,314", 12.7  ,Barceloneta,G
 César Augusto Vázquez Muñiz (PD) ,"  1,147", 11.1  ,Barceloneta,G
 Juan Dalmau Ramírez (PIP) ,  989, 9.5  ,Barceloneta,G
 Eliezer Molina Pérez (Ind.) ,  73, 0.7 ,Barceloneta,G
Jenniffer González Colón (PNP) ,"  3,789", 38.2  ,Barceloneta,R
 Aníbal Acevedo Vilá (PPD) ,"  3,434", 34.6  ,Barceloneta,R
 Ada Norah Henriquez (PD) ,"  1,124", 11.3  ,Barceloneta,R
 Zayira Jordán Conde (MVC) ,"  1,105", 11.1  ,Barceloneta,R
 Luis Roberto Piñero (PIP) ,  460, 4.6,Barceloneta,R
Pedro Pierluisi (PNP) ,"  5,162", 39.3  ,Barranquitas,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  4,745", 36.1  ,Barranquitas,G
 Alexandra Lúgaro (MVC) ,"  1,574", 12.0  ,Barranquitas,G
 Juan Dalmau Ramírez (PIP) ,"  1,194", 9.1  ,Barranquitas,G
 César Augusto Vázquez Muñiz (PD) ,  389, 3.0  ,Barranquitas,G
 Eliezer Molina Pérez (Ind.) ,  69, 0.5 ,Barranquitas,G
Jenniffer González Colón (PNP) ,"  5,896", 46.1  ,Barranquitas,R
 Aníbal Acevedo Vilá (PPD) ,"  4,584", 35.9  ,Barranquitas,R
 Zayira Jordán Conde (MVC) ,"  1,314", 10.3  ,Barranquitas,R
 Luis Roberto Piñero (PIP) ,  517, 4.0  ,Barranquitas,R
 Ada Norah Henriquez (PD) ,  469, 3.7,Barranquitas,R
Pedro Pierluisi (PNP) ,"  22,433", 33.7  ,Bayamón,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  17,089", 25.7  ,Bayamón,G
 Alexandra Lúgaro (MVC) ,"  11,004", 16.5  ,Bayamón,G
 Juan Dalmau Ramírez (PIP) ,"  10,537", 15.8  ,Bayamón,G
 César Augusto Vázquez Muñiz (PD) ,"  5,013", 7.5  ,Bayamón,G
 Eliezer Molina Pérez (Ind.) ,  440, 0.7 ,Bayamón,G
Jenniffer González Colón (PNP) ,"  26,741", 41.2  ,Bayamón,R
 Aníbal Acevedo Vilá (PPD) ,"  18,216", 28.0  ,Bayamón,R
 Zayira Jordán Conde (MVC) ,"  9,761", 15.0  ,Bayamón,R
 Ada Norah Henriquez (PD) ,"  5,672", 8.7  ,Bayamón,R
 Luis Roberto Piñero (PIP) ,"  4,569", 7.0,Bayamón,R
Pedro Pierluisi (PNP) ,"  4,861", 30.2  ,Cabo Rojo,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  4,518", 28.1  ,Cabo Rojo,G
 Alexandra Lúgaro (MVC) ,"  2,996", 18.6  ,Cabo Rojo,G
 Juan Dalmau Ramírez (PIP) ,"  2,948", 18.3  ,Cabo Rojo,G
 César Augusto Vázquez Muñiz (PD) ,  697, 4.3  ,Cabo Rojo,G
 Eliezer Molina Pérez (Ind.) ,  85, 0.5,Cabo Rojo,G
Jenniffer González Colón (PNP) ,"  6,031", 38.8  ,Cabo Rojo,R
 Aníbal Acevedo Vilá (PPD) ,"  4,609", 29.6  ,Cabo Rojo,R
 Zayira Jordán Conde (MVC) ,"  2,617", 16.8  ,Cabo Rojo,R
 Luis Roberto Piñero (PIP) ,"  1,472", 9.5  ,Cabo Rojo,R
 Ada Norah Henriquez (PD) ,  829, 5.3,Cabo Rojo,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  13,320", 28.3  ,Caguas,G
 Pedro Pierluisi (PNP) ,"  13,163", 28.0  ,Caguas,G
 Juan Dalmau Ramírez (PIP) ,"  9,393", 20.0  ,Caguas,G
 Alexandra Lúgaro (MVC) ,"  8,183", 17.4  ,Caguas,G
 César Augusto Vázquez Muñiz (PD) ,"  2,725", 5.8  ,Caguas,G
 Eliezer Molina Pérez (Ind.) ,  297, 0.6  ,Caguas,G
Jenniffer González Colón (PNP) ,"  16,521", 36.0  ,Caguas,R
 Aníbal Acevedo Vilá (PPD) ,"  14,121", 30.8  ,Caguas,R
 Zayira Jordán Conde (MVC) ,"  7,494", 16.3  ,Caguas,R
 Luis Roberto Piñero (PIP) ,"  4,345", 9.5  ,Caguas,R
 Ada Norah Henriquez (PD) ,"  3,436", 7.5  ,Caguas,R
Pedro Pierluisi (PNP) ,"  6,138", 39.4  ,Camuy,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  5,131", 33.0  ,Camuy,G
 César Augusto Vázquez Muñiz (PD) ,"  1,708", 11.0  ,Camuy,G
 Alexandra Lúgaro (MVC) ,"  1,291", 8.3  ,Camuy,G
 Juan Dalmau Ramírez (PIP) ,"  1,181", 7.6  ,Camuy,G
 Eliezer Molina Pérez (Ind.) ,  119, 0.8 ,Camuy,G
 Jenniffer González Colón (PNP) ,"  7,270", 48.1  ,Camuy,R
 Aníbal Acevedo Vilá (PPD) ,"  4,623", 30.6  ,Camuy,R
 Ada Norah Henriquez (PD) ,"  1,604", 10.6  ,Camuy,R
 Zayira Jordán Conde (MVC) ,"  1,093", 7.2  ,Camuy,R
 Luis Roberto Piñero (PIP) ,  517, 3.4  ,Camuy,R
Pedro Pierluisi (PNP) ,"  4,973", 33.5  ,Canóvanas,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  4,376", 29.5  ,Canóvanas,G
 Juan Dalmau Ramírez (PIP) ,"  1,977", 13.3  ,Canóvanas,G
 Alexandra Lúgaro (MVC) ,"  1,833", 12.3  ,Canóvanas,G
 César Augusto Vázquez Muñiz (PD) ,"  1,610", 10.8  ,Canóvanas,G
 Eliezer Molina Pérez (Ind.) ,  87, 0.6 ,Canóvanas,G
Jenniffer González Colón (PNP) ,"  6,049", 42.5  ,Canóvanas,R
 Aníbal Acevedo Vilá (PPD) ,"  4,027", 28.3  ,Canóvanas,R
 Ada Norah Henriquez (PD) ,"  1,655", 11.6  ,Canóvanas,R
 Zayira Jordán Conde (MVC) ,"  1,636", 11.5  ,Canóvanas,R
 Luis Roberto Piñero (PIP) ,  868, 6.1,Canóvanas,R
 Pedro Pierluisi (PNP) ,"  16,172", 30.0  ,Carolina,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  15,429", 28.6  ,Carolina,G
 Juan Dalmau Ramírez (PIP) ,"  9,128", 16.9  ,Carolina,G
 Alexandra Lúgaro (MVC) ,"  8,887", 16.5  ,Carolina,G
 César Augusto Vázquez Muñiz (PD) ,"  3,910", 7.3  ,Carolina,G
 Eliezer Molina Pérez (Ind.) ,  346, 0.6 ,Carolina,G
Jenniffer González Colón (PNP) ,"  19,967", 37.9  ,Carolina,R
 Aníbal Acevedo Vilá (PPD) ,"  16,172", 30.7  ,Carolina,R
 Zayira Jordán Conde (MVC) ,"  8,034", 15.3  ,Carolina,R
 Ada Norah Henriquez (PD) ,"  4,585", 8.7  ,Carolina,R
 Luis Roberto Piñero (PIP) ,"  3,898", 7.4,Carolina,R
Pedro Pierluisi (PNP) ,"  3,877", 37.9  ,Cataño,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  2,424", 23.7  ,Cataño,G
 Alexandra Lúgaro (MVC) ,"  1,853", 18.1  ,Cataño,G
 Juan Dalmau Ramírez (PIP) ,"  1,301", 12.7  ,Cataño,G
 César Augusto Vázquez Muñiz (PD) ,  698, 6.8  ,Cataño,G
 Eliezer Molina Pérez (Ind.) ,  73, 0.7 ,Cataño,G
Jenniffer González Colón (PNP) ,"  4,621", 47.1  ,Cataño,R
 Aníbal Acevedo Vilá (PPD) ,"  2,394", 24.4  ,Cataño,R
 Zayira Jordán Conde (MVC) ,"  1,515", 15.5  ,Cataño,R
 Ada Norah Henriquez (PD) ,  730, 7.4  ,Cataño,R
 Luis Roberto Piñero (PIP) ,  543, 5.5,Cataño,R
 Carlos (Charlie) Delgado Altieri (PPD) ,"  5,501", 33.6  ,Cayey,G
 Pedro Pierluisi (PNP) ,"  4,123", 25.2  ,Cayey,G
 Alexandra Lúgaro (MVC) ,"  2,993", 18.3  ,Cayey,G
 Juan Dalmau Ramírez (PIP) ,"  2,836", 17.3  ,Cayey,G
 César Augusto Vázquez Muñiz (PD) ,  808, 4.9  ,Cayey,G
 Eliezer Molina Pérez (Ind.) ,  104, 0.6 ,Cayey,G
Aníbal Acevedo Vilá (PPD) ,"  5,497", 34.8  ,Cayey,R
 Jenniffer González Colón (PNP) ,"  5,248", 33.2  ,Cayey,R
 Zayira Jordán Conde (MVC) ,"  2,671", 16.9  ,Cayey,R
 Luis Roberto Piñero (PIP) ,"  1,241", 7.9  ,Cayey,R
 Ada Norah Henriquez (PD) ,"  1,135", 7.2,Cayey,R
Pedro Pierluisi (PNP) ,"  1,785", 37.0  ,Ceiba,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  1,526", 31.6  ,Ceiba,G
 Alexandra Lúgaro (MVC) ,  527, 10.9  ,Ceiba,G
 César Augusto Vázquez Muñiz (PD) ,  524, 10.8  ,Ceiba,G
 Juan Dalmau Ramírez (PIP) ,  425, 8.8  ,Ceiba,G
 Eliezer Molina Pérez (Ind.) ,  43, 0.9 ,Ceiba,G
Jenniffer González Colón (PNP) ,"  2,173", 47.4  ,Ceiba,R
 Aníbal Acevedo Vilá (PPD) ,"  1,248", 27.2  ,Ceiba,R
 Ada Norah Henriquez (PD) ,  530, 11.5  ,Ceiba,R
 Zayira Jordán Conde (MVC) ,  446, 9.7  ,Ceiba,R
 Luis Roberto Piñero (PIP) ,  192, 4.2,Ceiba,R
Pedro Pierluisi (PNP) ,"  3,392", 38.9  ,Ciales,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  3,325", 38.1  ,Ciales,G
 Alexandra Lúgaro (MVC) ,  937, 10.8  ,Ciales,G
 Juan Dalmau Ramírez (PIP) ,  502, 5.8  ,Ciales,G
 César Augusto Vázquez Muñiz (PD) ,  492, 5.6  ,Ciales,G
 Eliezer Molina Pérez (Ind.) ,  68, 0.8,Ciales,G
Jenniffer González Colón (PNP) ,"  3,840", 45.9  ,Ciales,R
 Aníbal Acevedo Vilá (PPD) ,"  3,076", 36.7  ,Ciales,R
 Zayira Jordán Conde (MVC) ,  756, 9.0  ,Ciales,R
 Ada Norah Henriquez (PD) ,  494, 5.9  ,Ciales,R
 Luis Roberto Piñero (PIP) ,  209, 2.5  ,Ciales,R
 Pedro Pierluisi (PNP) ,"  5,062", 31.9  ,Cidra,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  4,334", 27.3  ,Cidra,G
 Juan Dalmau Ramírez (PIP) ,"  2,919", 18.4  ,Cidra,G
 Alexandra Lúgaro (MVC) ,"  2,728", 17.2  ,Cidra,G
 César Augusto Vázquez Muñiz (PD) ,  737, 4.6  ,Cidra,G
 Eliezer Molina Pérez (Ind.) ,  84, 0.5 ,Cidra,G
 Jenniffer González Colón (PNP) ,"  6,226", 40.4  ,Cidra,R
 Aníbal Acevedo Vilá (PPD) ,"  4,399", 28.6  ,Cidra,R
 Zayira Jordán Conde (MVC) ,"  2,407", 15.6  ,Cidra,R
 Luis Roberto Piñero (PIP) ,"  1,413", 9.2  ,Cidra,R
 Ada Norah Henriquez (PD) ,  958, 6.2,Cidra,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  5,310", 38.7  ,Coamo,G
 Pedro Pierluisi (PNP) ,"  4,565", 33.3  ,Coamo,G
 Alexandra Lúgaro (MVC) ,"  1,664", 12.1  ,Coamo,G
 Juan Dalmau Ramírez (PIP) ,"  1,505", 11.0  ,Coamo,G
 César Augusto Vázquez Muñiz (PD) ,  585, 4.3  ,Coamo,G
 Eliezer Molina Pérez (Ind.) ,  78, 0.6  ,Coamo,G
 Jenniffer González Colón (PNP) ,"  5,326", 40.0  ,Coamo,R
 Aníbal Acevedo Vilá (PPD) ,"  5,130", 38.5  ,Coamo,R
 Zayira Jordán Conde (MVC) ,"  1,450", 10.9  ,Coamo,R
 Ada Norah Henriquez (PD) ,  742, 5.6  ,Coamo,R
 Luis Roberto Piñero (PIP) ,  675, 5.1,Coamo,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  3,007", 37.9  ,Comerío,G
 Pedro Pierluisi (PNP) ,"  2,657", 33.5  ,Comerío,G
 Alexandra Lúgaro (MVC) ,"  1,101", 13.9  ,Comerío,G
 Juan Dalmau Ramírez (PIP) ,  810, 10.2  ,Comerío,G
 César Augusto Vázquez Muñiz (PD) ,  300, 3.8  ,Comerío,G
 Eliezer Molina Pérez (Ind.) ,  65, 0.8 ,Comerío,G
Jenniffer González Colón (PNP) ,"  3,087", 40.3  ,Comerío,R
 Aníbal Acevedo Vilá (PPD) ,"  2,975", 38.9  ,Comerío,R
 Zayira Jordán Conde (MVC) ,  891, 11.6  ,Comerío,R
 Luis Roberto Piñero (PIP) ,  373, 4.9  ,Comerío,R
 Ada Norah Henriquez (PD) ,  329, 4.3 ,Comerío,R
Pedro Pierluisi (PNP) ,"  5,940", 40.1  ,Corozal,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  4,898", 33.1  ,Corozal,G
 Alexandra Lúgaro (MVC) ,"  2,052", 13.9  ,Corozal,G
 Juan Dalmau Ramírez (PIP) ,"  1,255", 8.5  ,Corozal,G
 César Augusto Vázquez Muñiz (PD) ,  566, 3.8  ,Corozal,G
 Eliezer Molina Pérez (Ind.) ,  86, 0.6,Corozal,G
Jenniffer González Colón (PNP) ,"  6,886", 47.7  ,Corozal,R
 Aníbal Acevedo Vilá (PPD) ,"  4,721", 32.7  ,Corozal,R
 Zayira Jordán Conde (MVC) ,"  1,638", 11.3  ,Corozal,R
 Ada Norah Henriquez (PD) ,  636, 4.4  ,Corozal,R
 Luis Roberto Piñero (PIP) ,  554, 3.8 ,Corozal,R
 Pedro Pierluisi (PNP) ,  395, 34.7  ,Culebra,G
 Carlos (Charlie) Delgado Altieri (PPD) ,  371, 32.6  ,Culebra,G
 Alexandra Lúgaro (MVC) ,  206, 18.1  ,Culebra,G
 Juan Dalmau Ramírez (PIP) ,  96, 8.4  ,Culebra,G
 César Augusto Vázquez Muñiz (PD) ,  49, 4.3  ,Culebra,G
 Eliezer Molina Pérez (Ind.) ,  20, 1.8 ,Culebra,G
Jenniffer González Colón (PNP) ,  444, 41.4  ,Culebra,R
 Aníbal Acevedo Vilá (PPD) ,  336, 31.3  ,Culebra,R
 Zayira Jordán Conde (MVC) ,  183, 17.1  ,Culebra,R
 Luis Roberto Piñero (PIP) ,  57, 5.3  ,Culebra,R
 Ada Norah Henriquez (PD) ,  53, 4.9,Culebra,R
Carlos (Charlie) Delgado Altieri (PPD) ,"  4,646", 32.0  ,Dorado,G
 Pedro Pierluisi (PNP) ,"  4,232", 29.1  ,Dorado,G
 Juan Dalmau Ramírez (PIP) ,"  2,284", 15.7  ,Dorado,G
 Alexandra Lúgaro (MVC) ,"  2,142", 14.7  ,Dorado,G
 César Augusto Vázquez Muñiz (PD) ,"  1,099", 7.6  ,Dorado,G
 Eliezer Molina Pérez (Ind.) ,  122, 0.8 ,Dorado,G
Jenniffer González Colón (PNP) ,"  5,245", 37.3  ,Dorado,R
 Aníbal Acevedo Vilá (PPD) ,"  4,734", 33.7  ,Dorado,R
 Zayira Jordán Conde (MVC) ,"  1,990", 14.2  ,Dorado,R
 Ada Norah Henriquez (PD) ,"  1,160", 8.2  ,Dorado,R
 Luis Roberto Piñero (PIP) ,  933, 6.6 ,Dorado,R
Pedro Pierluisi (PNP) ,"  3,630", 37.3  ,Fajardo,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  2,563", 26.3  ,Fajardo,G
 Alexandra Lúgaro (MVC) ,"  1,376", 14.1  ,Fajardo,G
 Juan Dalmau Ramírez (PIP) ,"  1,210", 12.4  ,Fajardo,G
 César Augusto Vázquez Muñiz (PD) ,  857, 8.8  ,Fajardo,G
 Eliezer Molina Pérez (Ind.) ,  108, 1.1,Fajardo,G
Jenniffer González Colón (PNP) ,"  4,362", 46.3  ,Fajardo,R
 Aníbal Acevedo Vilá (PPD) ,"  2,343", 24.9  ,Fajardo,R
 Zayira Jordán Conde (MVC) ,"  1,196", 12.7  ,Fajardo,R
 Ada Norah Henriquez (PD) ,  938, 10.0  ,Fajardo,R
 Luis Roberto Piñero (PIP) ,  577, 6.1,Fajardo,R
Pedro Pierluisi (PNP) ,"  1,756", 36.4  ,Florida,G
 Carlos (Charlie) Delgado Altieri (PPD) ,"  1,337", 27.7  ,Florida,G
 César Augusto Vázquez Muñiz (PD) ,  932, 19.3  ,Florida,G
 Alexandra Lúgaro (MVC) ,  426, 8.8  ,Florida,G
